permit type,street number,street suffix,current status,number of existing stories,number of proposed stories,estimated cost,revised cost,existing use,existing units,proposed use,proposed units,plansets,existing construction type,proposed construction type,supervisor district,neighborhoods - analysis boundaries,zipcode,if_permit_created_on_file_date,if_completed,if_first_construc_is_issue_date,diff_permit_date,expired_before_completed,ratio_stories,existing_proposed_construction_type,ratio_estimated_revised,ratio_existing_proposed_units,latitude,longitude,permit creation date_col,current status date_col,filed date_col,issued date_col,completed date_col,first construction document date_col,permit expiration date_col
8,0.14648127820465912,12,6,2.0,2.0,10000.0,1.0,34,15.0,11,15.0,2.0,5.0,5.0,6.0,32,94103.0,True,False,True,-1288 days,False,1.0,True,10000.0,1.0,37.776258877899394,-122.4119816702891,736670,736670,736670,736670,734948,736670,735382
8,0.0261007439931699,12,6,3.0,3.0,1.0,1.0,61,1.0,42,1.0,2.0,5.0,5.0,5.0,15,94117.0,True,False,True,-1288 days,False,1.0,True,1.0,1.0,37.77295138711437,-122.45120688231127,736670,736670,736670,736670,734948,736670,735382
8,0.274301744115136,12,6,5.0,5.0,12000.0,1.0,5,7.0,64,0.0,2.0,5.0,4.0,2.0,16,94123.0,True,False,True,-1288 days,False,1.0,False,12000.0,inf,37.79909185253604,-122.43683336533985,736670,736670,736670,736670,734948,736670,735382
8,0.20722039273082085,12,6,11.0,11.0,1000.0,1.0,13,12.0,36,13.0,2.0,2.0,1.0,2.0,25,94109.0,True,False,True,-1289 days,False,1.0,False,1000.0,0.9230769230769231,37.79055541147386,-122.4230298567197,736671,736671,736671,736671,734948,736671,735382
8,0.08976704476155628,12,6,36.0,34.0,1000.0,1.0,19,8.0,22,7.0,2.0,1.0,1.0,10.0,27,94107.0,True,False,True,-1289 days,False,1.0588235294117647,True,1000.0,1.1428571428571428,37.75927525128718,-122.39979001449888,736671,736671,736671,736671,734948,736671,735382
8,0.07244785949506037,12,6,2.0,2.0,12000.0,1.0,16,0.0,8,0.0,2.0,3.0,3.0,10.0,27,94107.0,True,False,True,-1279 days,False,1.0,True,12000.0,,37.7641409841946,-122.38952857235172,736661,736671,736661,736671,734948,736671,735382
8,0.4606659348701061,12,6,11.0,10.0,1000.0,1.0,31,53.0,36,57.0,2.0,1.0,1.0,2.0,29,94118.0,True,False,True,-1292 days,False,1.1,True,1000.0,0.9298245614035088,37.78829850083694,-122.45506041199897,736674,736674,736674,736674,734948,736674,735382
8,0.17624100500060985,12,6,3.0,3.0,1.0,1.0,56,48.0,28,48.0,2.0,5.0,5.0,3.0,30,94109.0,True,False,True,-1299 days,False,1.0,True,1.0,1.0,37.79471233986647,-122.41898268036178,736681,736681,736681,736681,734948,736681,735382
3,0.00012196609342602757,12,5,3.0,3.0,40000.0,45000.0,6,8.0,6,8.0,2.0,5.0,5.0,8.0,2,94114.0,True,False,True,-1300 days,False,1.0,True,0.8888888888888888,1.0,37.76879786581987,-122.43595233495957,736682,736682,736682,735022,734948,735022,735382
1,0.030369557263080865,2,5,5.0,5.0,25000000.0,29011002.0,57,67.0,6,74.0,2.0,2.0,1.0,10.0,0,94134.0,True,False,True,-1301 days,False,1.0,False,0.8617420384170116,0.9054054054054054,37.710262656811906,-122.39181337034003,736683,736683,736683,735022,734948,735022,735382
